Timestamp,ID_Estacion,Dia_Semana,Es_Festivo,Es_Domingo,Hora_del_Dia,Es_Hora_Pico,Evento_Cercano,Temperatura_C,Precipitacion_mm,Flujo_Pasajeros
2024-01-01 00:00:00-05:00,1,0,1,0,0,0,0,16.5,0.0,10
2024-01-01 00:00:00-05:00,2,0,1,0,0,0,1,18.4,0.0,17
2024-01-01 00:00:00-05:00,3,0,1,0,0,0,0,18.9,2.6,6
2024-01-01 00:00:00-05:00,4,0,1,0,0,0,0,17.7,0.0,5
2024-01-01 01:00:00-05:00,1,0,1,0,1,0,0,18.1,0.0,70
2024-01-01 01:00:00-05:00,2,0,1,0,1,0,0,17.6,0.0,65
2024-01-01 01:00:00-05:00,3,0,1,0,1,0,0,18.9,0.0,39
2024-01-01 01:00:00-05:00,4,0,1,0,1,0,0,18.8,0.0,46
2024-01-01 02:00:00-05:00,1,0,1,0,2,0,0,18.0,0.0,99
2024-01-01 02:00:00-05:00,2,0,1,0,2,0,0,18.6,0.0,95
2024-01-01 02:00:00-05:00,3,0,1,0,2,0,0,18.1,0.0,66
2024-01-01 02:00:00-05:00,4,0,1,0,2,0,0,17.7,0.0,54
2024-01-01 03:00:00-05:00,1,0,1,0,3,0,0,19.2,0.0,110
2024-01-01 03:00:00-05:00,2,0,1,0,3,0,0,18.5,0.0,86
2024-01-01 03:00:00-05:00,3,0,1,0,3,0,0,18.0,0.0,45
2024-01-01 03:00:00-05:00,4,0,1,0,3,0,0,19.5,0.0,71
2024-01-01 04:00:00-05:00,1,0,1,0,4,0,0,20.2,0.0,158
2024-01-01 04:00:00-05:00,2,0,1,0,4,0,0,19.1,0.0,85
2024-01-01 04:00:00-05:00,3,0,1,0,4,0,0,20.0,0.0,89
2024-01-01 04:00:00-05:00,4,0,1,0,4,0,0,19.7,0.0,61
2024-01-01 05:00:00-05:00,1,0,1,0,5,0,0,21.3,0.0,181
2024-01-01 05:00:00-05:00,2,0,1,0,5,0,0,21.0,0.0,141
2024-01-01 05:00:00-05:00,3,0,1,0,5,0,0,20.7,0.0,98
2024-01-01 05:00:00-05:00,4,0,1,0,5,0,0,20.8,0.0,85
2024-01-01 06:00:00-05:00,1,0,1,0,6,1,0,21.6,0.0,388
2024-01-01 06:00:00-05:00,2,0,1,0,6,1,0,21.3,0.0,447
2024-01-01 06:00:00-05:00,3,0,1,0,6,1,0,22.3,0.0,281
2024-01-01 06:00:00-05:00,4,0,1,0,6,1,0,22.1,0.0,176
2024-01-01 07:00:00-05:00,1,0,1,0,7,1,0,23.2,0.0,491
2024-01-01 07:00:00-05:00,2,0,1,0,7,1,0,23.4,0.0,450
2024-01-01 07:00:00-05:00,3,0,1,0,7,1,0,22.5,0.0,346
2024-01-01 07:00:00-05:00,4,0,1,0,7,1,0,23.7,0.0,279
2024-01-01 08:00:00-05:00,1,0,1,0,8,1,0,24.5,0.0,402
2024-01-01 08:00:00-05:00,2,0,1,0,8,1,0,23.6,0.0,374
2024-01-01 08:00:00-05:00,3,0,1,0,8,1,0,24.6,0.0,518
2024-01-01 08:00:00-05:00,4,0,1,0,8,1,0,22.8,0.0,240
2024-01-01 09:00:00-05:00,1,0,1,0,9,0,0,25.0,0.0,182
2024-01-01 09:00:00-05:00,2,0,1,0,9,0,0,25.3,0.0,147
2024-01-01 09:00:00-05:00,3,0,1,0,9,0,0,24.9,0.0,106
2024-01-01 09:00:00-05:00,4,0,1,0,9,0,0,24.6,0.0,90
